id,category_name,rus_name,photo_link,food,description,brief
n01514668,cock,петух,,,,
n01514859,hen,,,,,
n01518878,ostrich,страус,,,,
n01530575,brambling,вьюрок,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Fringilla_coelebs_chaffinch_male_edit2.jpg/800px-Fringilla_coelebs_chaffinch_male_edit2.jpg,"семена, плоды, буковые орешки","Из всех вьюрковых у него наблюдается наиболее выраженное перелётное поведение.Птицы плотного телосложения с короткой шеей, круглой головой и средних размеров крыльями с плотным густым оперением различной окраски. Крылья округлые или немного заострённые.",Вид певчих птиц из семейства вьюрковых.
n01531178,goldfinch,щегол,https://simple-fauna.ru/wp-content/uploads/2019/04/zimuyushhie-pticy-7.jpg,"семена репейника, семена конского щавеля, семена чертополоха, зерна","Певчая птаха, уступающая размерами воробью, и ценимая любителями за прекрасные вокальные способности. Обыкновенный, или черноголовый, щегол без устали поет круглый год, не теряя свой дар даже в клетке. ",Щеглы обитают на открытых участках и опушках.
n01532829,house_finch,,,,,
n01534433,junco,,,,,
n01537544,indigo_bunting,колибри,https://ethnomir.ru/upload/medialibrary/77b/kolibri.jpg,"нектар, древесный сок, насекомые, афеландра, губастик","Семейство мелких птиц из отряда стрижеобразных. Известно более 350 видов, обитающих в Америке от Аляски и Лабрадора до Огненной Земли, многие виды являются эндемиками. Широко распространены в тропических лесах, особенно на среднегорье.",Самая маленькая птичка в Москве.
n01558993,robin,,,,,
n01560419,bulbul,бульбулевые,,"ягоды, семена, нектар, насекомые",,Небольшие древесные и кустарниковые птицы
n01580077,jay,сойка,https://www.treehugger.com/thmb/grW_-iamv0jJNJybuHJDjDN5QWo=/768x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/__opt__aboutcom__coeus__resources__content_migration__mnn__images__2015__05__shutterstock_1077020225-6cfe22f18cb844f48b1f109ae88e77c7.jpg," жёлуди, ягоды, семена, насекомые, мелкая рыба",Птица рода соек семейства врановых отряда воробьинообразных.Слово сойка — уменьшительная форма от древнерусского названия этой птицы «соя». ,"Предполагается, что название родственно глаголу «сиять» и дано птице за яркое оперение"
n01582220,magpie,сорока,https://upload.wikimedia.org/wikipedia/commons/4/42/Sroka_Pica_Pica_II.jpg,"мучной червь, майский жук, ягоды, фрукты, орехи, желуди, каштаны","Женские и мужские особи окрашены одинаково, правда, вторые имеют более отчетливый металлический (зеленый/фиолетовый) блеск веерообразного хвоста, распускаемого в полете. Клюв и ноги у сороки чёрные, а белый цвет покрывает её бока, брюшко, плечи и поясницу.",Самая хитрая птица в Москве.
n01592084,chickadee,,,,,
n01601694,water_ouzel,,,,,
n01608432,kite,,,,,
n01614925,bald_eagle,,,,,
n01616318,vulture,,,,,
n01622779,great_grey_owl,трясогузка,https://zooclub.ru/attach/25000/25066.jpg,"семена, мелкие ягоды, гусеницы, мухи",Трясогузки — перелётные птицы. Большинство трясогузок держится возле воды отдельными семьями или небольшими стайками; гнездятся трясогузки на земле или в дуплах.,"Эта птичка не прыгает, а бегает."
n01795545,black_grouse,,,,,
n01796340,ptarmigan,,,,,
n01797886,ruffed_grouse,,,,,
n01798484,prairie_chicken,,,,,
n01806143,peacock,,,,,
n01806567,quail,,,,,
n01807496,partridge,,,,,
n01817953,African_grey,,,,,
n01818515,macaw,,,,,
n01819313,sulphur-crested_cockatoo,,,,,
n01820546,lorikeet,,,,,
n01824575,coucal,,,,,
n01828970,bee_eater,,,,,
n01829413,hornbill,,,,,
n01833805,hummingbird,колибри,https://ethnomir.ru/upload/medialibrary/77b/kolibri.jpg,"нектар, древесный сок, насекомые, афеландра, губастик","Семейство мелких птиц из отряда стрижеобразных. Известно более 350 видов, обитающих в Америке от Аляски и Лабрадора до Огненной Земли, многие виды являются эндемиками. Широко распространены в тропических лесах, особенно на среднегорье.",Самая маленькая птичка в Москве.
n01843065,jacamar,,,,,
n01843383,toucan,тукан,,,,
n01847000,drake,,,,,
n01855032,red-breasted_merganser,,,,,
n01855672,goose,,,,,
n01860187,black_swan,,,,,
n02002556,white_stork,,,,,
n02002724,black_stork,,,,,
n02006656,spoonbill,,,,,
n02007558,flamingo,,,,,
n02009229,little_blue_heron,,,,,
n02009912,American_egret,,,,,
n02011460,bittern,,,,,
n02012849,crane,,,,,
n02013706,limpkin,,,,,
n02017213,European_gallinule,,,,,
n02018207,American_coot,,,,,
n02018795,bustard,трясогузка,https://zooclub.ru/attach/25000/25066.jpg,"семена, мелкие ягоды, гусеницы, мухи",Трясогузки — перелётные птицы. Большинство трясогузок держится возле воды отдельными семьями или небольшими стайками; гнездятся трясогузки на земле или в дуплах.,"Эта птичка не прыгает, а бегает."
n02025239,ruddy_turnstone,,,,,
n02027492,red-backed_sandpiper,,,,,
n02028035,redshank,,,,,
n02033041,dowitcher,,,,,
n02037110,oystercatcher,,,,,
n02051845,pelican,,,,,
n02056570,king_penguin,,,,,
n02058221,albatross,,,,,
no001,undefined_bird,курлык,https://docs.google.com/spreadsheets/d/16nyN8OfUAbsQEGavjEuQtZoSecxyyo5KoBR9ZzGThqI/edit#gid=571539848,"подсушенный белый хлеб, зерна, крупы, семечки, овсяные хлопья","Человек приручил дикого сизого голубя более 5000 лет тому назад. С тех пор голубеводы вывели более 800 пород домашних голубей, различных по цвету, форме тела и назначению.","Мы не уверены, но возможно это Голубь!"
